label,text
1,급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 의식수준의 변화 상황이 중증 호흡곤란로 이어짐
1,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 의식수준의 변화 상황이 쇼크로 이어짐
1,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 의식수준의 변화 상황이 무의식(GCS 3-8)로 이어짐
2,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 의식수준의 변화 상황이 중등도 호흡곤란로 이어짐
2,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 의식수준의 변화 상황이 혈역학적 장애로 이어짐
2,급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 의식수준의 변화 상황이 의식변화(GCS 9-13)로 이어짐
2,"뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 의식수준의 변화 상황이 열,면역억제 상태로 이어짐"
2,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 의식수준의 변화 상황이 패혈증 의증(3 SIRS 기준만족)로 이어짐
3,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 의식수준의 변화 상황이 경증 호흡곤란로 이어짐
3,"치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 의식수준의 변화 상황이 비정상 맥박수/맥박압 (혈역학적으로
안정)로 이어짐"
3,"급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 의식수준의 변화 상황이 열(아파보임),<3 SIRS 기준 만족로 이어짐"
2,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 의식수준의 변화 상황이 고위험성 사고기전로 이어짐
2,"편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 의식수준의 변화 상황이 혈중 글루코스<54mg/dl 이고 관련증상을
동반로 이어짐"
2,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 착란 상황이 중등도 호흡곤란로 이어짐
2,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 착란 상황이 혈역학적 장애로 이어짐
2,급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 착란 상황이 의식변화(GCS 9-13)로 이어짐
2,"뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 착란 상황이 열,면역억제 상태로 이어짐"
2,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 착란 상황이 패혈증 의증(3 SIRS 기준만족)로 이어짐
3,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 착란 상황이 경증 호흡곤란로 이어짐
3,"치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 착란 상황이 비정상 맥박수/맥박압 (혈역학적으로
안정)로 이어짐"
3,"급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 착란 상황이 열(아파보임),<3 SIRS 기준 만족로 이어짐"
4,"뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 착란 상황이 열(건강해보임), 1SIRS 기준만족(열)로 이어짐"
2,"편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 착란 상황이 혈중 글루코스<54mg/dl 이고 관련증상을
동반로 이어짐"
2,"간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 착란 상황이 두통 또는 의식상태의 변화를 동반한
급성 착란로 이어짐"
3,"치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 착란 상황이 두통 또는 의식상태의 변화를 동반하지
않는 급성착란로 이어짐"
4,"급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 착란 상황이 만성, 평상시에 비해 변화없음로 이어짐"
1,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 현훈 상황이 중증 호흡곤란로 이어짐
1,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 현훈 상황이 쇼크로 이어짐
1,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 현훈 상황이 무의식(GCS 3-8)로 이어짐
2,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 현훈 상황이 중등도 호흡곤란로 이어짐
2,급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 현훈 상황이 혈역학적 장애로 이어짐
2,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 현훈 상황이 의식변화(GCS 9-13)로 이어짐
2,"편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 현훈 상황이 열,면역억제 상태로 이어짐"
2,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 현훈 상황이 패혈증 의증(3 SIRS 기준만족)로 이어짐
3,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 현훈 상황이 경증 호흡곤란로 이어짐
3,"급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 현훈 상황이 비정상 맥박수/맥박압 (혈역학적으로
안정)로 이어짐"
3,"뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 현훈 상황이 열(아파보임),<3 SIRS 기준 만족로 이어짐"
2,"편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 현훈 상황이 자세변화에 의해 유발되지 않음
±신경학적 증상의 동반로 이어짐"
3,"간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 현훈 상황이 자세변화에 의해 발생, 다른 신경학적
증상 없음로 이어짐"
1,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 두통 상황이 중증 호흡곤란로 이어짐
1,급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 두통 상황이 쇼크로 이어짐
1,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 두통 상황이 무의식(GCS 3-8)로 이어짐
2,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 두통 상황이 중등도 호흡곤란로 이어짐
2,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 두통 상황이 혈역학적 장애로 이어짐
2,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 두통 상황이 의식변화(GCS 9-13)로 이어짐
2,"급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 두통 상황이 열,면역억제 상태로 이어짐"
2,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 두통 상황이 패혈증 의증(3 SIRS 기준만족)로 이어짐
3,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 두통 상황이 경증 호흡곤란로 이어짐
3,"간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 두통 상황이 비정상 맥박수/맥박압 (혈역학적으로
안정)로 이어짐"
3,"치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 두통 상황이 열(아파보임),<3 SIRS 기준 만족로 이어짐"
4,"급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 두통 상황이 열(건강해보임), 1SIRS 기준만족(열)로 이어짐"
2,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 두통 상황이 급성 중심성 중증 통증(8-10)로 이어짐
3,편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 두통 상황이 급성 중심성 중등도 통증(4-7)로 이어짐
3,간질 발작으로 인해 의식을 잃고 경련이 동반된 상황 상태에서 두통 상황이 만성 중심성 중증 통증(8-10)로 이어짐
4,치매로 인해 기억력 저하와 혼란스러운 행동이 나타난 상황 상태에서 두통 상황이 급성 중심성 경증 통증(<4)로 이어짐
4,급성 뇌경색으로 인해 말이 어눌해지고 팔다리 마비가 동반된 상황 상태에서 두통 상황이 만성 중심성 중등도 통증(4-7)로 이어짐
5,뇌출혈로 인해 갑작스러운 의식 저하와 구토가 발생한 상황 상태에서 두통 상황이 만성 중심성 경증 통증(<4)로 이어짐
2,"편두통 악화로 인해 극심한 두통과 시야 흐림이 발생한 상황 상태에서 두통 상황이 급성,중증, 지금까지 경험했던 두통 중
가장 심함로 이어짐"
