구분1,구분2,구분3,등급
소화기,구토/구역,중증탈수,1
외상,중증외상-관통상,무의식(GCS 3-8),1
심혈관,전신성부종,무의식(GCS 3-8),1
신경과,의식수준의 변화,쇼크,1
소화기,설사,중증탈수,1
심혈관,흉통(심인성),중증 호흡곤란,1
외상,단독 흉부외상-둔상,중증 호흡곤란,1
신경과,두통,쇼크,1
소화기,구토/구역,중증탈수,1
산부인과,생리문제,무의식(GCS 3-8),1
환경손상,익수,중증 호흡곤란,1
피부,물림(Bite),쇼크,1
심혈관,흉통(비 심인성),중증 호흡곤란,1
환경손상,전기손상,무의식(GCS 3-8),1
심혈관,실신/전-실신,중증 호흡곤란,1
소화기,구강/식도이물질,중증 호흡곤란,1
소화기,구토/구역,중증 호흡곤란,1
소화기,설사,중증 호흡곤란,1
비뇨기과,다뇨증,무의식(GCS 3-8),1
산부인과,20주 미만의 임신,쇼크,1
비뇨기과,다뇨증,중증 호흡곤란,1
"이비인후과-입,인후,경부",연하장애/연하곤란,무의식(GCS 3-8),1
물질오용,물질오용/중독,쇼크,1
심혈관,실신/전-실신,중증 호흡곤란,1
일반,열,쇼크,1
정형외과,요통,무의식(GCS 3-8),1
코질환,코피,무의식(GCS 3-8),1
산부인과,20주 미만의 임신,중증 호흡곤란,1
외상,단독 복부외상-관통상,중증 호흡곤란,1
외상,단독 흉부외상-관통상,무의식(GCS 3-8),1
신경과,두통,쇼크,1
정형외과,외상성 등/척추 손상,무의식(GCS 3-8),1
환경손상,화학물질 노출,중증 호흡곤란,1
호흡기,과다호흡증후군,중증 호흡곤란,1
신경과,두통,무의식(GCS 3-8),1
일반,창백함/빈혈,중증 호흡곤란,1
일반,열,쇼크,1
심혈관,실신/전-실신,쇼크,1
"이비인후과-입,인후,경부",경부외상,쇼크,1
피부,쏘임(Sting),무의식(GCS 3-8),1
호흡기,과다호흡증후군,쇼크,1
일반,창백함/빈혈,무의식(GCS 3-8),1
정형외과,하지 통증,쇼크,1
피부,열상/천공,중증 호흡곤란,1
외상,단독 흉부외상-관통상,무의식(GCS 3-8),1
환경손상,저체온증,중증 호흡곤란,1
신경과,의식수준의 변화,쇼크,1
외상,단독 흉부외상-둔상,쇼크,1
외상,단독 흉부외상-둔상,쇼크,1
정형외과,하지 손상,중증 호흡곤란,1
외상,단독 흉부외상-둔상,쇼크,1
"이비인후과-입,인후,경부",연하장애/연하곤란,중증 호흡곤란,1
소화기,토혈,중증 호흡곤란,1
호흡기,숨참,쇼크,1
일반,"전문 진료를 위해서
의뢰된 환자",중증 호흡곤란,1
호흡기,호흡기 이물질,중증 호흡곤란,1
일반,의료장비문제,무의식(GCS 3-8),1
산부인과,20주 미만의 임신,쇼크,1
피부,청색증,중증 호흡곤란,1
"이비인후과-입,인후,경부",연하장애/연하곤란,중증 호흡곤란,1
산부인과,20주 이상의 임신,무의식(GCS 3-8),1
신경과,두통,쇼크,1
심혈관,흉통(심인성),쇼크,1
정형외과,상지 통증,쇼크,1
신경과,현훈,쇼크,1
산부인과,20주 미만의 임신,무의식(GCS 3-8),1
심혈관,실신/전-실신,쇼크,1
호흡기,과다호흡증후군,무의식(GCS 3-8),1
신경과,의식수준의 변화,중증 호흡곤란,1
일반,저혈당,쇼크,1
일반,비정상 검사수치,중증 호흡곤란,1
물질오용,물질금단,무의식(GCS 3-8),1
심혈관,실신/전-실신,무의식(GCS 3-8),1
"이비인후과-입,인후,경부",연하장애/연하곤란,무의식(GCS 3-8),1
산부인과,20주 미만의 임신,중증 호흡곤란,1
심혈관,전신쇠약,중증 호흡곤란,1
심혈관,전신성부종,쇼크,1
소화기,혈변/흑색변,중증 호흡곤란,1
외상,단독 흉부외상-관통상,무의식(GCS 3-8),1
환경손상,유해물질흡입,쇼크,1
정형외과,상지 손상,중증 호흡곤란,1
일반,창백함/빈혈,중증 호흡곤란,1
물질오용,물질금단,쇼크,1
정형외과,하지 손상,중증 호흡곤란,1
신경과,두부손상,무의식(GCS 3-8),1
환경손상,화학물질 노출,무의식(GCS 3-8),1
심혈관,고혈압,중증 호흡곤란,1
정형외과,절단,무의식(GCS 3-8),1
"이비인후과-입,인후,경부",경부외상,무의식(GCS 3-8),1
소화기,설사,중증 호흡곤란,1
산부인과,20주 미만의 임신,무의식(GCS 3-8),1
물질오용,물질오용/중독,쇼크,1
일반,창백함/빈혈,쇼크,1
산부인과,20주 이상의 임신,쇼크,1
호흡기,숨참,중증 호흡곤란,1
소화기,설사,무의식(GCS 3-8),1
물질오용,과다복용,중증 호흡곤란,1
호흡기,숨참,중증 호흡곤란,1
피부,열상/천공,쇼크,1
외상,단독 흉부외상-둔상,무의식(GCS 3-8),1
신경과,떨림(Tremor),의식변화(GCS 9-13),2
비뇨기과,옆구리 통증,혈역학적 장애,2
심혈관,전신성부종,혈역학적 장애,2
안과,"이물질,눈",이물질의 안구 관통,2
신경과,발작,혈역학적 장애,2
일반,저혈당,"열,면역억제 상태",2
물질오용,물질금단,"최근발작, 발작 후 상태, 초조",2
환경손상,저체온증,면역억제 상태,2
안과,눈 외상,둔상에 의한 시력소실,2
비뇨기과,요로감염 증상,"열,면역억제 상태",2
호흡기,호흡기 이물질,중등도 호흡곤란,2
소화기,설사,중등도 호흡곤란,2
비뇨기과,고환 통증/부종,패혈증 의증(3 SIRS 기준만족),2
신경과,사지약화/뇌졸중 증상,패혈증 의증(3 SIRS 기준만족),2
소화기,구강/식도이물질,"열,면역억제 상태",2
신경과,두부손상,새로운 국소적 신경학적 증상,2
피부,국소성 부종/발적,혈역학적 장애,2
코질환,코피,"출혈성 질환(생명이나 사지에 위급한
출혈)",2
피부,유방의 발적/압통,패혈증 의증(3 SIRS 기준만족),2
소화기,직장내 이물질,혈역학적 장애,2
소화기,혈변/흑색변,중등도 호흡곤란,2
정형외과,요통,"열,면역억제 상태",2
산부인과,20주 미만의 임신,고위험성 사고기전,2
산부인과,질내 이물질,의식변화(GCS 9-13),2
"이비인후과-입,인후,경부","안면통증(비-외상성/비
-치아성)",패혈증 의증(3 SIRS 기준만족),2
심혈관,양측성 다리부기/부종,의식변화(GCS 9-13),2
"이비인후과-입,인후,경부",인후통,급성 중심성 중증 통증(8-10),2
비뇨기과,고환 통증/부종,급성 중심성 중증 통증(8-10),2
소화기,"샅고랑부위(Groin)통증/
종괴",혈역학적 장애,2
물질오용,물질금단,도주의 가능성이나 안전에 대한 위험,2
심혈관,고혈압,"열,면역억제 상태",2
외상,중증외상-둔상,패혈증 의증(3 SIRS 기준만족),2
비뇨기과,핍뇨증,급성 중심성 중증 통증(8-10),2
신경과,현훈,의식변화(GCS 9-13),2
정형외과,절단,고위험성 사고기전,2
피부,외상없이 저절로 멍듦,의식변화(GCS 9-13),2
비뇨기과,다뇨증,중등도 호흡곤란,2
일반,저혈당,의식변화(GCS 9-13),2
"이비인후과-입,인후,경부","안면통증(비-외상성/비
-치아성)",의식변화(GCS 9-13),2
일반,열,혈역학적 장애,2
외상,중증외상-둔상,"출혈성 질환(생명이나 사지에 위급한
출혈)",2
외상,단독 흉부외상-관통상,혈역학적 장애,2
심혈관,"심계항진/불규칙
심장박동",혈역학적 장애,2
정형외과,절단,중등도 호흡곤란,2
코질환,코피,"출혈성 질환(생명이나 사지에 위급한
출혈)",2
비뇨기과,생식기의 외상,"열,면역억제 상태",2
피부,화상,패혈증 의증(3 SIRS 기준만족),2
물질오용,물질금단,"최근발작, 발작 후 상태, 초조",2
"이비인후과-입,인후,경부",경부부종/통증,"열,면역억제 상태",2
심혈관,전신성부종,패혈증 의증(3 SIRS 기준만족),2
산부인과,질내 이물질,패혈증 의증(3 SIRS 기준만족),2
환경손상,유해물질흡입,혈역학적 장애,2
소화기,"샅고랑부위(Groin)통증/
종괴","열,면역억제 상태",2
물질오용,과다복용,도주의 가능성이나 안전에 대한 위험,2
심혈관,흉통(비 심인성),"기타 중요한 가슴통증(잡아째는,
찢어지는 통증)",2
소화기,혈변/흑색변,의식변화(GCS 9-13),2
외상,중증외상-둔상,사지의 신경혈관 장애,2
소화기,토혈,"열,면역억제 상태",2
신경과,두부손상,중등도 호흡곤란,2
소화기,항문/직장외상,패혈증 의증(3 SIRS 기준만족),2
비뇨기과,고환 통증/부종,중등도 호흡곤란,2
산부인과,성폭행,중등도 호흡곤란,2
정형외과,절단,패혈증 의증(3 SIRS 기준만족),2
정신건강,우울증/자살/자해,도주의 가능성이나 안전에 대한 위험,2
호흡기,객혈,의식변화(GCS 9-13),2
신경과,보행장애/운동실조,"열,면역억제 상태",2
외상,중증외상-둔상,급성 중심성 중증 통증(8-10),2
산부인과,질내 이물질,패혈증 의증(3 SIRS 기준만족),2
물질오용,물질오용/중독,혈역학적 장애,2
산부인과,질 분비물,혈역학적 장애,2
외상,단독 흉부외상-관통상,중등도 호흡곤란,2
안과,"화학물질 노출,눈","화학물질 노출,눈",2
비뇨기과,다뇨증,혈역학적 장애,2
일반,저혈당,<54mg/dl 증상 있음,2
산부인과,음순부종,중등도 호흡곤란,2
일반,수술 후 합병증,혈역학적 장애,2
외상,중증외상-관통상,"머리,가슴,복부의 관통상",2
"이비인후과-입,인후,경부",인후통,침흘림 또는 협착음,2
호흡기,과다호흡증후군,"열,면역억제 상태",2
심혈관,전신성부종,중등도 호흡곤란,2
심혈관,전신성부종,혈역학적 장애,2
비뇨기과,고환 통증/부종,혈역학적 장애,2
비뇨기과,소변 배출장애,패혈증 의증(3 SIRS 기준만족),2
일반,창백함/빈혈,패혈증 의증(3 SIRS 기준만족),2
심혈관,고혈압,의식변화(GCS 9-13),2
일반,저혈당,패혈증 의증(3 SIRS 기준만족),2
소화기,복통,급성 중심성 중증 통증(8-10),2
일반,창백함/빈혈,의식변화(GCS 9-13),2
일반,비정상 검사수치,"열,면역억제 상태",2
소화기,토혈,혈역학적 장애,2
신경과,착란,"열,면역억제 상태",2
호흡기,호흡기 이물질,의식변화(GCS 9-13),2
"이비인후과-입,인후,경부","안면통증(비-외상성/비
-치아성)",중등도 호흡곤란,2
산부인과,생리문제,의식변화(GCS 9-13),2
정형외과,요통,패혈증 의증(3 SIRS 기준만족),2
정신건강,기괴한 행동,도주의 가능성이나 안전에 대한 위험,2
"이비인후과-입,인후,경부",인후통,혈역학적 장애,2
물질오용,과다복용,계획적인 자살시도,2
신경과,두통,의식변화(GCS 9-13),2
정형외과,하지 통증,혈역학적 장애,2
귀질환,"삼출물,귀",경증 호흡곤란,3
환경손상,동상/냉 손상,급성 말초성 중증 통증 (8-10),3
소화기,구강/식도이물질,"열(아파보임),<3 SIRS 기준 만족",3
귀질환,귀손상,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
안과,안와주위 부종,경증 호흡곤란,3
정신건강,기괴한 행동,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
"이비인후과-입,인후,경부",인후통,급성 중심성 중등도 통증(4-7),3
피부,열상/천공,지속되고 있는 출혈,3
소화기,변비,급성 중심성 중등도 통증(4-7),3
비뇨기과,음경부종,경증 호흡곤란,3
피부,쏘임(Sting),"열(아파보임),<3 SIRS 기준 만족",3
코질환,상기도감염증상호소,경증 호흡곤란,3
정형외과,외상성 등/척추 손상,출혈성 질환(중등도나 경증의 출혈),3
귀질환,이통(Earache),급성 말초성 중증 통증 (8-10),3
"이비인후과-입,인후,경부",경부외상,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
산부인과,20주 이상의 임신,"임신주수>20주, 양수 누출 가능성",3
비뇨기과,요로감염 증상,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
피부,유방의 발적/압통,"열(아파보임),<3 SIRS 기준 만족",3
외상,중증외상-관통상,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
정형외과,하지 통증,경증 호흡곤란,3
심혈관,전신성부종,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
산부인과,생리문제,급성 중심성 중등도 통증(4-7),3
호흡기,호흡기 이물질,급성 중심성 중등도 통증(4-7),3
피부,쏘임(Sting),급성 말초성 중증 통증 (8-10),3
산부인과,성폭행,>= 2시간부터 <12시간,3
정신건강,기괴한 행동,"열(아파보임),<3 SIRS 기준 만족",3
소화기,황달,"열(아파보임),<3 SIRS 기준 만족",3
일반,경증 호소,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
피부,"이물질, 피부","비정상 맥박수/맥박압 (혈역학적으로
안정)",3
신경과,두부손상,출혈성 질환(중등도나 경증의 출혈),3
피부,외상없이 저절로 멍듦,외상없이 저절로 멍듦,3
피부,"이물질, 피부","열(아파보임),<3 SIRS 기준 만족",3
심혈관,실신/전-실신,"전구증상 후 발병 또는 급격한
자세변화시 발병",3
일반,경증 호소,급성 중심성 중등도 통증(4-7),3
소화기,토혈,커피찌꺼기 모양 구토/흑색변,3
피부,청색증,"열(아파보임),<3 SIRS 기준 만족",3
"이비인후과-입,인후,경부",경부외상,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
피부,스테이플/봉합사제거,급성 말초성 중증 통증 (8-10),3
정신건강,기괴한 행동,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
심혈관,흉통(비 심인성),경증 호흡곤란,3
산부인과,생리문제,경증 호흡곤란,3
정형외과,하지 통증,"열(아파보임),<3 SIRS 기준 만족",3
비뇨기과,옆구리 통증,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
정신건강,환각/망상,비정상 맥박수/맥박압 (혈역학적으로 안정),3
소화기,토혈,"열(아파보임),<3 SIRS 기준 만족",3
비뇨기과,요로감염 증상,급성 중심성 중등도 통증(4-7),3
일반,경증 호소,만성 중심성 중증 통증(8-10),3
비뇨기과,소변 배출장애,"열(아파보임),<3 SIRS 기준 만족",3
코질환,코외상,경증 호흡곤란,3
정형외과,요통,급성 중심성 중등도 통증(4-7),3
피부,물림(Bite),"열(아파보임),<3 SIRS 기준 만족",3
외상,단독 흉부외상-둔상,급성 중심성 중등도 통증(4-7),3
피부,외상없이 저절로 멍듦,"열(아파보임),<3 SIRS 기준 만족",3
신경과,현훈,"자세변화에 의해 발생, 다른 신경학적
증상 없음",3
