text,label
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 탈수로 인해 어지럽고 힘이 없는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 심한 통증을 호소하며 말을 잘 하지 못하는 상태,2
환자가 중등도 호흡곤란을 겪으며 숨을 쉬기 어려워하는 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 혈압이 약간 떨어져서 어지럼증을 호소하며 얼굴이 창백한 상태,2
환자가 열이 나고 의식이 약간 혼미한 상태,2
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 경미한 호흡곤란을 느끼며 가슴이 답답한 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 약간의 탈수 증상으로 인해 갈증을 느끼는 상태,3
환자가 복부 통증을 호소하며 약간의 구토 증상이 있는 상태,3
환자가 경미한 쇼크 증상으로 인해 혈압이 조금 떨어진 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
환자가 약간의 어지럼증을 느끼며 혼자 걷기 힘든 상태,3
